Reference_id,Reference,Issue_year,Location,Country,Latitude,Longitude,Experiment_year,Growth_day,Growth_condition,Temp/MAT,MAP,PAR,Experiment_environment,Species/accessions,Crop_name,Family,Dome_status,Yield,PDM,ADM,LDM,SDM,RDM,LLDM,LMF,SMF,RMF,PH,PLN,PLA,PSN,PRL,PRA,PSF,SW,LA,RAD,SRL,RGR,AMF,NI,LTS,Aarea,gs,gm,E,Ci,ETR,Vcmax,Jmax,Chl,Car,SPAD,LMA,LDMC,LT,LD,SDad,SDab,SD,Tcw,RTD,‐δ13C,LCC,LNC,LPC,LPheC,LSilC,LLCC,LLNC,LLPC,LLCaC,LLLigC
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,NA,Leek,Alliaceae,cultivated,,,0.1954,,,,,,,,,,,,,,-0.039331367,,,,,,0.062,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,CGN20776,Leek,Alliaceae,wild,,,0.034888889,,,,,,,,,,,,,,-0.081871345,,,,,,0.040024275,0.001355436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,AMA 169,Amaranth,Amaranthaceae,cultivated,,,5.426,,,,,,,,,,,,,,0.770144941,,,,,,0.071415573,0.033719646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,PI652417,Amaranth,Amaranthaceae,wild,,,2.0535,,,,,,,,,,,,,,2.103839178,,,,,,0.21231319,0.011158279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,NA,Chard,Chenopodiaceae,cultivated,,,2.2672,,,,,,,,,,,,,,-0.116740873,,,,,,0.254892729,0.047726051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,1582,Chard,Chenopodiaceae,wild,,,1.4518,,,,,,,,,,,,,,0.087287025,,,,,,0.259444786,0.016739607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,NA,Pepper,Solanaceae,cultivated,,,0.72,,,,,,,,,,,,,,0.655716162,,,,,,0.185896315,0.023357119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,ES-01-14-0256,Pepper,Solanaceae,wild,,,0.1464,,,,,,,,,,,,,,-0.052427184,,,,,,0.1852,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,NA,Cardoon,Asteraceae,cultivated,,,1.7126,,,,,,,,,,,,,,-0.062000219,,,,,,0.128472708,0.007962055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,CGN22513,Cardoon,Asteraceae,wild,,,2.6024,,,,,,,,,,,,,,0.003791051,,,,,,0.103622642,0.011511672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,BGE000214,Barley,Poaceae,cultivated,,,3.2124,,,,,,,,,,,,,,-0.071345976,,,,,,0.10770607,0.03032722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,BGE025385,Barley,Poaceae,wild,,,3.254555556,,,,,,,,,,,,,,-0.210602202,,,,,,0.134666667,0.004444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,Ames26252,Tomato,Solanaceae,cultivated,,,1.876555556,,,,,,,,,,,,,,0.060286455,,,,,,0.138671248,0.02613921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,PI566674,Tomato,Solanaceae,wild,,,2.8594,,,,,,,,,,,,,,0.64725537,,,,,,0.191687307,0.009132046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Martín-Robles, N., García-Palacios, P., Rodríguez, M., Rico, D., Vigo, R., Sánchez-Moreno, S., De Deyn, G. B., & Milla, R. (2020). Crops and their wild progenitors recruit beneficial and detrimental soil biota in opposing ways. Plant and Soil, 456(1), 159–173. Q1/Q2. https://doi.org/10.1007/s11104-020-04703-0",2020,Universidad Rey Juan Carlos,Spain,40.3341,-3.8771,2014,19,,14-25,,,greenhouse,NA,Sorghum,Poaceae,cultivated,,,3.1813,,,,,,,,,,,,,,-0.088400481,,,,,,0.103914286,0.041949206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
